gorgeous,0.6994552612304688
lovely,0.6354695558547974
transfixing,0.62301105260849
achingly,0.619534432888031
wonderful,0.6195326447486877
crushingly,0.617302417755127
stunning,0.6089098453521729
affecting,0.6042582988739014
spellbinding,0.6042139530181885
beguiling,0.6020054221153259
haunting,0.5956205129623413
loneliest,0.5908535718917847
enchanting,0.5905130505561829
comely,0.5888704061508179
uplifting,0.587687611579895
warmhearted,0.5858478546142578
sumptuous,0.5850703716278076
wrenchingly,0.5844943523406982
sumptuously,0.583821177482605
heartrending,0.5831338167190552
delicate,0.5795361995697021
serene,0.5794451236724854
bewitching,0.5768982172012329
heartbreakingly,0.5764674544334412
magnificently,0.5751430988311768
stunningly,0.5749328136444092
riveting,0.5747489929199219
psuedo,0.57453852891922
luminous,0.5744701623916626
starkly,0.5743424892425537
livid,0.5742862224578857
sorrowful,0.5726933479309082
multivalent,0.572320818901062
disquietingly,0.5718435049057007
captivating,0.5672354102134705
alluring,0.5669926404953003
luxuriant,0.5646843314170837
chillingly,0.5630360841751099
stirring,0.5624430179595947
surefooted,0.5622269511222839
unengaging,0.5621395707130432
unnerving,0.5616077184677124
jauntiest,0.5615142583847046
glasshouse,0.5596563816070557
fragile,0.5586190223693848
balladic,0.5584864616394043
soppy,0.5582700967788696
unalloyed,0.5582384467124939
wrested,0.5580804347991943
naturalistically,0.5577927827835083
drumless,0.5563825368881226
symmetrical,0.5563488602638245
prettiest,0.5561480522155762
swooningly,0.5554553270339966
tranquil,0.5538118481636047
softest,0.5537059307098389
unremittingly,0.5536074638366699
conventionally,0.5532673597335815
gripping,0.5532650947570801
ikebana,0.5529882907867432
poignant,0.5528232455253601
elegies,0.5526142120361328
masterclass,0.5524111986160278
breathtakingly,0.5523564219474792
snowflake,0.5517632961273193
powerful,0.5517354607582092
untroubled,0.5517030358314514
elegant,0.5511966943740845
sentimentally,0.551045298576355
hurtin,0.5506048798561096
underformed,0.5500439405441284
frankensteinian,0.5492337942123413
copia,0.548687219619751
arresting,0.5485681295394897
imperfiction,0.5485053658485413
unsettlingly,0.5484597682952881
barren,0.548291802406311
unassumingly,0.5480799674987793
abruptness,0.5473841428756714
orphic,0.5470374226570129
gorgeously,0.546911358833313
mesmerizing,0.5468367338180542
becalmed,0.5467053055763245
unselfconsciously,0.5465794801712036
impregnable,0.5464672446250916
indescribably,0.5462513566017151
transportive,0.5459108352661133
zentropy,0.5457121133804321
exquisitely,0.5449934005737305
jingly,0.5442218780517578
enticingly,0.544211208820343
supplication,0.5434179306030273
structureless,0.5429319143295288
evanescent,0.5425819754600525
ethereally,0.5420984029769897
loveliest,0.5418591499328613
invariable,0.5416535139083862
marvelous,0.541580319404602
bleakly,0.5414743423461914
warmest,0.5412850379943848
brilliant,0.5409193634986877
saggy,0.5408081412315369
calmest,0.5405166149139404
fairytales,0.5400294065475464
dreamiest,0.5397716760635376
sombre,0.5396947264671326
tenderest,0.5396206378936768
engrossing,0.5394587516784668
nourishing,0.5394560098648071
gatorade,0.5394337773323059
uplifted,0.5392729043960571
petrol,0.5390185713768005
saal,0.5388498306274414
breathtaking,0.5387216806411743
unsettling,0.5385215282440186
combustive,0.5384372472763062
dancy,0.5383709073066711
deliciously,0.5383669137954712
kiwanuka,0.5381460189819336
lifelike,0.5378388166427612
bombastically,0.5377881526947021
terrifying,0.5375882387161255
engrossingly,0.5374254584312439
womblike,0.5373212099075317
teasingly,0.5372827053070068
colossally,0.5372666120529175
graceful,0.5372464656829834
songful,0.5369460582733154
replayable,0.5368584990501404
lushest,0.5366597175598145
korhola,0.5364383459091187
lapis,0.5364284515380859
harmonious,0.5364181399345398
liveliest,0.5359850525856018
severant,0.5359576344490051
cheerless,0.5358961224555969
yellows,0.5358825325965881
strange,0.5356253981590271
unguardedly,0.5353463888168335
majestic,0.5352131128311157
transporting,0.535179615020752
heartbreaking,0.5351415872573853
discomfiting,0.5351254940032959
masochistically,0.5349995493888855
gossamer,0.5349200963973999
energizing,0.5347511768341064
morbidly,0.534589946269989
wysing,0.5344116687774658
dispossession,0.5342702269554138
psalms,0.5342473983764648
shrew,0.5340405106544495
irresistable,0.534016489982605
devastatingly,0.5339016318321228
unpremeditated,0.5338726043701172
humbling,0.5337709188461304
unrepentantly,0.5335099697113037
cocooned,0.5335083603858948
unimpeachably,0.5334329009056091
luxuriantly,0.5333889722824097
enthralling,0.5332432985305786
shapely,0.5332289934158325
fantastically,0.5331578254699707
entrancing,0.5326727628707886
starlit,0.5326294898986816
incursio,0.5317716598510742
gentlest,0.531733512878418
commuter,0.5317078232765198
joyous,0.5313602089881897
cashen,0.5311126708984375
misha,0.5306460857391357
tender,0.5306369066238403
snowy,0.5300856828689575
forlorn,0.5300716757774353
glorious,0.5296745300292969
recollect,0.5295448899269104
snore,0.5289539694786072
tanghe,0.5288745164871216
reflector,0.5288602113723755
kaleidoscopes,0.5286157727241516
caverns,0.5286153554916382
desormais,0.5285940170288086
elucidates,0.528573751449585
skylight,0.5285031795501709
austerely,0.5283415913581848
magdalena,0.5281867980957031
angelically,0.5280441045761108
thrilling,0.5279996395111084
salient,0.5279483795166016
enrapturing,0.5279077291488647
ezale,0.5278477668762207
jubilation,0.5277605056762695
teil,0.5275925397872925
coastlines,0.5274537205696106
concealment,0.5274498462677002
harrowing,0.5273436307907104
fallible,0.527303159236908
snowflakes,0.5272865891456604
eventful,0.527176022529602
daydreamers,0.5270406007766724
opalescent,0.5270370841026306
disanto,0.5269990563392639
dormarion,0.5269889235496521
greenery,0.526932954788208
mathematically,0.5268869996070862
